timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676646675620,677,HTTP Request,201,Created,Thread Group 1-1,text,true,,761,253,1,1,https://reqres.in/api/users,668,0,518
1676646680532,291,HTTP Request,201,Created,Thread Group 1-2,text,true,,765,253,1,1,https://reqres.in/api/users,291,0,156
1676646685532,285,HTTP Request,201,Created,Thread Group 1-3,text,true,,763,253,1,1,https://reqres.in/api/users,285,0,153
1676646690532,524,HTTP Request,201,Created,Thread Group 1-4,text,true,,761,253,1,1,https://reqres.in/api/users,524,0,140
1676646695533,303,HTTP Request,201,Created,Thread Group 1-5,text,true,,763,253,1,1,https://reqres.in/api/users,303,0,162
1676646700531,275,HTTP Request,201,Created,Thread Group 1-6,text,true,,757,253,1,1,https://reqres.in/api/users,275,0,150
1676646705531,265,HTTP Request,201,Created,Thread Group 1-7,text,true,,769,253,1,1,https://reqres.in/api/users,265,0,146
1676646710531,266,HTTP Request,201,Created,Thread Group 1-8,text,true,,761,253,1,1,https://reqres.in/api/users,266,0,146
1676646715534,277,HTTP Request,201,Created,Thread Group 1-9,text,true,,765,253,1,1,https://reqres.in/api/users,277,0,138
1676646720530,292,HTTP Request,201,Created,Thread Group 1-10,text,true,,763,253,1,1,https://reqres.in/api/users,292,0,150
1676646725544,299,HTTP Request,201,Created,Thread Group 1-11,text,true,,765,253,1,1,https://reqres.in/api/users,299,0,150
1676646730542,293,HTTP Request,201,Created,Thread Group 1-12,text,true,,761,253,1,1,https://reqres.in/api/users,293,0,157
1676646735531,279,HTTP Request,201,Created,Thread Group 1-13,text,true,,769,253,1,1,https://reqres.in/api/users,279,0,151
1676646740528,285,HTTP Request,201,Created,Thread Group 1-14,text,true,,763,253,1,1,https://reqres.in/api/users,285,0,158
1676646745530,269,HTTP Request,201,Created,Thread Group 1-15,text,true,,759,253,1,1,https://reqres.in/api/users,269,0,140
1676646750530,282,HTTP Request,201,Created,Thread Group 1-16,text,true,,761,253,1,1,https://reqres.in/api/users,281,0,144
1676646755531,309,HTTP Request,201,Created,Thread Group 1-17,text,true,,757,253,1,1,https://reqres.in/api/users,309,0,162
1676646760529,291,HTTP Request,201,Created,Thread Group 1-18,text,true,,759,253,1,1,https://reqres.in/api/users,291,0,149
1676646765529,263,HTTP Request,201,Created,Thread Group 1-19,text,true,,765,253,1,1,https://reqres.in/api/users,263,0,139
1676646770529,268,HTTP Request,201,Created,Thread Group 1-20,text,true,,759,253,1,1,https://reqres.in/api/users,268,0,143
